"Label (Grouping)","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","6,263,220","*****","6,263,220","(X)"
"        Male","3,038,142","±3,523","48.5%","±0.1"
"        Female","3,225,078","±3,523","51.5%","±0.1"
"        Sex ratio (males per 100 females)","94.2","±0.2","(X)","(X)"
"        Under 5 years","350,973","±2,514","5.6%","±0.1"
"        5 to 9 years","374,228","±9,160","6.0%","±0.1"
"        10 to 14 years","395,317","±9,372","6.3%","±0.1"
"        15 to 19 years","401,855","±4,241","6.4%","±0.1"
"        20 to 24 years","376,761","±4,434","6.0%","±0.1"
"        25 to 34 years","807,590","±4,460","12.9%","±0.1"
"        35 to 44 years","876,495","±4,114","14.0%","±0.1"
"        45 to 54 years","766,968","±4,324","12.2%","±0.1"
"        55 to 59 years","394,649","±9,241","6.3%","±0.1"
"        60 to 64 years","418,632","±8,979","6.7%","±0.1"
"        65 to 74 years","637,454","±2,753","10.2%","±0.1"
"        75 to 84 years","347,702","±6,175","5.6%","±0.1"
"        85 years and over","114,596","±5,806","1.8%","±0.1"
"        Median age (years)","39.8","±0.2","(X)","(X)"
"        Under 18 years","1,368,343","±1,635","21.8%","±0.1"
"        16 years and over","5,059,385","±5,148","80.8%","±0.1"
"        18 years and over","4,894,877","±1,635","78.2%","±0.1"
"        21 years and over","4,669,787","±5,566","74.6%","±0.1"
"        62 years and over","1,352,130","±9,229","21.6%","±0.1"
"        65 years and over","1,099,752","±2,690","17.6%","±0.1"
"        18 years and over","4,894,877","±1,635","4,894,877","(X)"
"            Male","2,341,768","±2,179","47.8%","±0.1"
"            Female","2,553,109","±2,069","52.2%","±0.1"
"            Sex ratio (males per 100 females)","91.7","±0.1","(X)","(X)"
"        65 years and over","1,099,752","±2,690","1,099,752","(X)"
"            Male","481,095","±1,642","43.7%","±0.1"
"            Female","618,657","±1,843","56.3%","±0.1"
"            Sex ratio (males per 100 females)","77.8","±0.3","(X)","(X)"
"RACE","","","",""
"    Total population","6,263,220","*****","6,263,220","(X)"
"        One race","5,690,054","±25,303","90.8%","±0.4"
"        Two or More Races","573,166","±25,303","9.2%","±0.4"
"        One race","5,690,054","±25,303","90.8%","±0.4"
"            White","2,937,410","±14,420","46.9%","±0.2"
"                Egyptian","4,034","±1,317","0.1%","±0.1"
"                English","351,989","±13,721","5.6%","±0.2"
"                German","235,437","±11,066","3.8%","±0.2"
"                Irish","211,351","±12,246","3.4%","±0.2"
"                Italian","100,195","±7,039","1.6%","±0.1"
"                Lebanese","3,896","±1,874","0.1%","±0.1"
"                Other White","2,030,508","±25,476","32.4%","±0.4"
"            Black or African American","1,825,122","±13,223","29.1%","±0.2"
"                African American","969,005","±28,984","15.5%","±0.5"
"                Ethiopian","47,728","±8,657","0.8%","±0.1"
"                Haitian","19,715","±4,855","0.3%","±0.1"
"                Jamaican","32,180","±7,178","0.5%","±0.1"
"                Nigerian","66,665","±9,737","1.1%","±0.2"
"                Somali","930","±823","0.0%","±0.1"
"                Other Black or African American","688,899","±26,979","11.0%","±0.4"
"            American Indian and Alaska Native","29,485","±6,586","0.5%","±0.1"
"                Aztec","2,519","±1,619","0.0%","±0.1"
"                Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","172","±143","0.0%","±0.1"
"                Maya","6,440","±2,899","0.1%","±0.1"
"                Native Village of Barrow Inupiat Traditional Government","0","±228","0.0%","±0.1"
"                Navajo Nation","366","±332","0.0%","±0.1"
"                Nome Eskimo Community","0","±228","0.0%","±0.1"
"                Other American Indian and Alaska Native","19,988","±5,168","0.3%","±0.1"
"            Asian","434,405","±6,594","6.9%","±0.1"
"                Asian Indian","109,438","±10,165","1.7%","±0.2"
"                Chinese","93,049","±8,148","1.5%","±0.1"
