Date,Month,Year,Graphing Label,Total Jobs (private and government),Private Sector (total),"Mining, Logging and Construction",Manufacturing (total),Manufacturing (durable goods),Manufacturing (non-durable goods),"Trade, Transportation, and Utilities (total)","Trade, Transportation, and Utilities (wholesale trade)","Trade, Transportation, and Utilities (retail trade)","Trade, Transportation, and Utilities (transportation, warehousing, and utilities)",Information,Financial Activities (total),Financial Activities (finance and insurance),Financial Activities (real estate and rental and leasing),Professional and Business Services (total),"Professional and Business Services (professional, scientific, and technical services)",Professional and Business Services (management of companies and enterprises),Professional and Business Services (administrative and support and waste management and remediation services),Education and Health Services (total),Education and Health Services (educational services),Education and Health Services (health care and social assistance),Leisure and Hospitality (total),"Leisure and Hospitality (arts, entertainment, and recreation)",Leisure and Hospitality (accommodation and food services),Other Services,Government (total),Government (federal),Government (state),Government (local)
01/01/2007 12:00:00 AM,Jan,2007,Jan 2007,2609700,2133600,191500,135100,72800,62300,478000,94300,302200,81500,50100,158800,111100,47700,397600,220700,21000,21000,369800,70500,299300,235300,38600,196700,117400,476100,125400,108800,241900
02/01/2007 12:00:00 AM,Feb,2007,Feb 2007,2602400,2126900,188900,134800,72600,62200,476400,94400,300700,81300,50100,158500,110800,47700,397700,221200,21100,21100,370300,70700,299600,233300,36700,196600,116900,475500,124900,108600,242000
03/01/2007 12:00:00 AM,Mar,2007,Mar 2007,2611600,2134300,191100,134700,72500,62200,477900,94400,301800,81700,50400,158200,110400,47800,398800,221800,21200,21200,371900,71300,300600,234100,37200,196900,117200,477300,124800,109000,243500
04/01/2007 12:00:00 AM,Apr,2007,Apr 2007,2607400,2129800,191200,134300,72400,61900,475800,94300,300700,80800,50600,157700,110000,47700,398300,221600,21300,21300,371600,70900,300700,233100,35900,197200,117200,477600,124800,109200,243600
05/01/2007 12:00:00 AM,May,2007,May 2007,2611300,2132100,191500,134200,72200,62000,476800,94200,301400,81200,50800,157600,110000,47600,398700,222000,21300,21300,372600,71500,301100,232700,36100,196600,117200,479200,124600,109800,244800
06/01/2007 12:00:00 AM,Jun,2007,Jun 2007,2611200,2133000,191500,134200,72200,62000,476100,93900,301000,81200,51300,157300,109700,47600,399200,222200,21400,21400,374000,71600,302400,232000,35300,196700,117400,478200,124700,108100,245400
07/01/2007 12:00:00 AM,Jul,2007,Jul 2007,2613600,2133900,190900,134000,72200,61800,475900,93900,301000,81000,51300,157200,109700,47500,399200,222400,21600,21600,374100,71200,302900,233400,35900,197500,117900,479700,124600,109300,245800
08/01/2007 12:00:00 AM,Aug,2007,Aug 2007,2614000,2132600,190600,133700,71900,61800,473500,93700,299300,80500,51800,156700,109200,47500,399500,222600,21600,21600,374900,71200,303700,234200,36200,198000,117700,481400,125000,109400,247000
09/01/2007 12:00:00 AM,Sep,2007,Sep 2007,2611800,2130800,189500,133100,71500,61600,472700,93700,298700,80300,51700,156300,108900,47400,399900,222300,21800,21800,375500,71500,304000,234300,36300,198000,117800,481000,124900,109300,246800
10/01/2007 12:00:00 AM,Oct,2007,Oct 2007,2611600,2129500,188600,133400,71900,61500,472700,93300,299200,80200,50400,155700,108400,47300,400400,222900,21800,21800,375600,71700,303900,234600,36500,198100,118100,482100,125200,109300,247600
11/01/2007 12:00:00 AM,Nov,2007,Nov 2007,2613600,2129800,187800,133000,71800,61200,472800,93400,299600,79800,50600,155100,107800,47300,400900,223600,22000,22000,376500,72400,304100,235000,35700,199300,118100,483800,125400,110000,248400
12/01/2007 12:00:00 AM,Dec,2007,Dec 2007,2616400,2132400,186500,132900,71700,61200,474400,93500,300900,80000,51000,155000,107800,47200,401700,224200,22200,22200,377200,72500,304700,235700,36600,199100,118000,484000,125500,109800,248700
01/01/2008 12:00:00 AM,Jan,2008,Jan 2008,2620800,2134400,188100,132900,71700,61200,472600,93400,299700,79500,50800,154300,107400,46900,402400,225800,22200,22200,379000,73500,305500,236600,36900,199700,117700,486400,125500,109600,251300
