OBJECTID,CTP Project ID,CTP Project Name,County,TBU Facility,CTP Doc URL,Longitude,Latitude,Transportation Business Unit,District,x,y
1,BA4511,I-795 Northwest Expressway,Baltimore,Interstate Development & Evaluation Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=343,39.4255776386666,-76.8059410959561,Maryland State Highway Administration,4,-8549998.2527,4782816.5549
2,WO4191,US 50 Ocean Gateway,Worcester,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=502,38.3332656164457,-75.0939768429584,Maryland State Highway Administration,1,-8359423.2638,4626612.6332
3,MO8521,MD 97 Georgia Avenue,Montgomery,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=428,39.1095189923043,-77.076004603126,Maryland State Highway Administration,3,-8580061.5848,4737371.3919
4,PG6191,MD 202 Largo Road,Prince George's,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=454,38.9181697403762,-76.860101288902,Maryland State Highway Administration,3,-8556027.3378,4709956.859
5,PG3331,I-95/I-495 Capital Beltway,Prince George's,Interstate Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=435,39.0150933345212,-76.9085770756806,Maryland State Highway Administration,3,-8561423.6377,4723833.7939
6,State5,Carbon Reduction Program,Statewide,Primary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=295,39.067583851427,-76.8890557035964,Maryland State Highway Administration,0,-8559250.5285,4731357.0081
7,CH2031,US 301 Crain Highway,Charles,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=374,38.6572548806887,-76.8751680565277,Maryland State Highway Administration,5,-8557704.5627,4672694.514
8,CH2031,US 301 Crain Highway,Charles,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=374,38.6263535362683,-76.9106652760339,Maryland State Highway Administration,5,-8561656.0951,4668290.3713
9,MO5938,MD 185 Connecticut Avenue,Montgomery,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=425,38.9998586749533,-77.0769646712977,Maryland State Highway Administration,3,-8580168.4591,4721651.329
10,PG6181,MD 4 Pennsylvania Avenue,Prince George's,Primary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=437,38.829817679054,-76.8565901463589,Maryland State Highway Administration,3,-8555636.4792,4697323.6493
11,WA2581,I-70 Eisenhower Memorial Highway,Washington,Interstate Development & Evaluation Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=489,39.6054481567502,-77.7290990458145,Maryland State Highway Administration,6,-8652763.7256,4808771.6437
12,BA6091,US 40 Pulaski Highway,Baltimore,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=341,39.4088771575698,-76.3900360916296,Maryland State Highway Administration,4,-8503699.9194,4780410.1001
13,BA6091,US 40 Pulaski Highway,Baltimore,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=341,39.4213923482893,-76.3736186593635,Maryland State Highway Administration,4,-8501872.3392,4782213.4216
14,FR1321,MD 355 Urbana Pike,Frederick,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=389,39.3174201865137,-77.3335268698532,Maryland State Highway Administration,7,-8608728.8324,4767241.8199
15,SM2101,MD 5 Point Lookout Road,St. Mary's,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=472,38.2370866954911,-76.4980119089312,Maryland State Highway Administration,5,-8515719.7324,4612972.5634
16,BA8602,MD 151/MD 151B Sparrows Point Boulevard,Baltimore,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=340,39.2304174271612,-76.4656235097901,Maryland State Highway Administration,4,-8512114.2723,4754730.8405
17,BA8602,MD 151/MD 151B Sparrows Point Boulevard,Baltimore,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=340,39.2329334423607,-76.4645350238553,Maryland State Highway Administration,4,-8511993.1026,4755092.425
18,BA8602,MD 151/MD 151B Sparrows Point Boulevard,Baltimore,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=340,39.2356251355893,-76.4649791527284,Maryland State Highway Administration,4,-8512042.5428,4755479.2711
19,CHNEW1,US 301 Crain Highway,Prince George's,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=375,38.6952403698917,-76.8723079814616,Maryland State Highway Administration,3,-8557386.1806,4678110.9123
20,State3,Total Maximum Daily Load (TMDL),Statewide,Primary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=293,39.2981953624873,-76.6123356029161,Maryland State Highway Administration,0,-8528446.1878,4764475.9564
21,State1,Coordinated Highway Action Response Team (CHART),Statewide,Primary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=291,39.2981953624873,-76.6123356029161,Maryland State Highway Administration,0,-8528446.1878,4764475.9564
22,WA2451,I-70 Eisenhower Memorial Highway,Washington,Interstate Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=486,39.6054481567502,-77.7290990458145,Maryland State Highway Administration,6,-8652763.7256,4808771.6437
23,AL2321,MD 51 Old Town Road,Allegany,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=314,39.529394800278,-78.5432019711351,Maryland State Highway Administration,6,-8743389.2487,4797789.0379
24,CH1681,MD 225 Hawthorne Road,Charles,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=373,38.5887462958915,-77.1188132691201,Maryland State Highway Administration,5,-8584827.0237,4662933.0459
25,FR1951,MD 75 Green Valley Road,Frederick,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=387,39.3817711499531,-77.2601381924367,Maryland State Highway Administration,7,-8600559.2422,4776505.4881
26,GA1731,US 219 Garrett Highway,Garrett,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=397,39.2945702705621,-79.4683227021601,Maryland State Highway Administration,6,-8846373.2174,4763954.5018
27,PG0671,MD 382 Croom Road,Prince George's,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=442,38.7795483675952,-76.7719921435034,Maryland State Highway Administration,3,-8546219.0726,4690142.7822
28,PG2582,MD 4 Pennsylvania Avenue,Prince George's,Primary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=438,38.8126786696936,-76.7498039329538,Maryland State Highway Administration,3,-8543749.0923,4694874.808
29,PG9671,MD 227 Riverdale Road,Prince George's,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=440,38.9604661681226,-76.9257175735971,Maryland State Highway Administration,3,-8563331.7092,4716010.2714
30,WI2221,US 13BU Salisbury Boulevard,Wicomico,Primary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=497,38.365126603178,-75.5954962310022,Maryland State Highway Administration,1,-8415252.1467,4631135.1406
31,BA1451,I-695 Baltimore Beltway,Baltimore,Interstate Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=339,39.3795654448964,-76.5198793382794,Maryland State Highway Administration,4,-8518154.0035,4776187.8237
32,PG6541,MD 450 Annapolis Road,Prince George's,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=456,38.9837522091254,-76.7235290624962,Maryland State Highway Administration,3,-8540824.1871,4719344.4831
33,SM3511,MD 4 Patuxent Beach Road and Solomons Island Road,Calvert,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=354,38.3163704181536,-76.4912533332798,Maryland State Highway Administration,5,-8514967.3712,4624215.2513
34,WO3151,MD 589 Racetrack Road,Worcester,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=503,38.363195434307,-75.1677204249807,Maryland State Highway Administration,1,-8367632.3618,4630860.9642
35,GA5991,US 219 Relocated Oakland Bypass,Garrett,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=400,39.4156228157458,-79.3915991011165,Maryland State Highway Administration,6,-8837832.3852,4781382.0459
36,PG6911,MD 197 Collington Road,Prince George's,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=453,38.9646247155207,-76.7525622953736,Maryland State Highway Administration,3,-8544056.1518,4716605.6326
37,AA4361,MD 175 Annapolis Road,Anne Arundel,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=328,39.1139022575063,-76.7270346570441,Maryland State Highway Administration,5,-8541214.4281,4738000.2511
38,PG3916,MD 5 Branch Avenue,Prince George's,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=448,38.762678676244,-76.8819439499012,Maryland State Highway Administration,3,-8558458.8517,4687734.1163
39,AA5101,MD 198 Laurel Fort Meade Road,Anne Arundel,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=329,39.0921356230361,-76.7804261014142,Maryland State Highway Administration,5,-8547157.9365,4734877.8161
40,AA3721,MD 295 Baltimore Washington Parkway,Anne Arundel,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=326,39.1872178411597,-76.7156683734671,Maryland State Highway Administration,5,-8539949.1392,4748524.5122
41,PG5811,MD 223 Piscataway Road,Prince George's,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=455,38.7638022015667,-76.9065463405561,Maryland State Highway Administration,3,-8561197.5773,4687894.5163
42,HO3321,US 1 Washington Boulevard,Howard,Secondary  Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=415,39.1734341121179,-76.7806645547148,Maryland State Highway Administration,7,-8547184.481,4746545.0566
43,SM7741,MD 5 Point Lookout Road,St. Mary's,Secondary Construction Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=469,38.0738613970722,-76.3426883633707,Maryland State Highway Administration,5,-8498429.1944,4589865.212
44,WA1281,I-81 Corridor - CSX Bridges to the PA State Line,Washington,Interstate Development & Evaluation Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=491,39.6404456036041,-77.7632764003181,Maryland State Highway Administration,6,-8656568.3313,4813829.5576
45,AL6131,US 220 McMullen Highway,Allegany,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=317,39.5302491377334,-78.896010919686,Maryland State Highway Administration,6,-8782663.7612,4797912.343
46,BA7291,MD 140 Reisterstown Road,Baltimore,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=344,39.4159269694789,-76.7752023773758,Maryland State Highway Administration,4,-8546576.4342,4781425.872
47,CA4131,MD 2/4 Solomons Island Road,Calvert,Primary Development & Evaluation  Program,https://www.mdot.maryland.gov/OPCP/CTP_2024/FY24_FY29_CTP_Full_Report_Regular_Resolution_for_viewing.pdf#page=353,38.5374996676708,-76.5885947963316,Maryland State Highway Administration,5,-8525803.3733,4655637.2414
