X,Y,rowid,device_id,Location,ReportTime,AvgSpeed,Volume,Occupancy,Latitude,Longitude
-76.2913169999999,38.975914,1,000009dc00d200960063d330c4235c0a,"US 50 West, at Cox Neck Rd, QA14.13 (L)",2025/05/11 04:10:00+00,65,10,1,38.975914,-76.291317
-76.777616,39.11427,2,00010511002000140066d330c4235c0a,MD 295 at MD 32,2025/05/11 04:10:00+00,55,7,3,39.11427,-76.777616
-76.777616,39.11427,3,00010511002000140066d330c4235c0a,MD 295 at MD 32,2025/05/11 04:10:00+00,60,50,11,39.11427,-76.777616
-76.777616,39.11427,4,00010511002000140066d330c4235c0a,MD 295 at MD 32,2025/05/11 04:10:00+00,70,23,5,39.11427,-76.777616
-76.777616,39.11427,5,00010511002000140066d330c4235c0a,MD 295 at MD 32,2025/05/11 04:10:00+00,50,1,0,39.11427,-76.777616
-77.310601,39.264059,6,050005b700140096003bc7482f1f5daa,I-270 NB @ MSP Truck Weigh Station,2025/05/11 04:08:27+00,70,96,3,39.264059,-77.310601
-76.008542,39.046524,7,050005fa009700bf0060d330c4235c0a,US 301 South at MD 305,2025/05/11 04:10:00+00,70,2,0,39.046524,-76.008542
-76.008542,39.046524,8,050005fa009700bf0060d330c4235c0a,US 301 South at MD 305,2025/05/11 04:10:00+00,70,0,0,39.046524,-76.008542
-76.008542,39.046524,9,050005fa009700bf0060d330c4235c0a,US 301 South at MD 305,2025/05/11 04:10:00+00,70,4,0,39.046524,-76.008542
-76.008542,39.046524,10,050005fa009700bf0060d330c4235c0a,US 301 South at MD 305,2025/05/11 04:10:00+00,70,0,0,39.046524,-76.008542
-76.5322,39.29335,11,0a0134c1003a000d0057fa30c4235c0a,"I-95 SOUTH PAST NORTH POINT BLVD, MM 59.0",2025/05/11 03:31:16+00,60,179,17,39.29335,-76.5322
-76.5322,39.29335,12,0a0134c1003a000d0057fa30c4235c0a,"I-95 SOUTH PAST NORTH POINT BLVD, MM 59.0",2025/05/11 03:31:16+00,60,79,24,39.29335,-76.5322
-76.6655939999999,39.482673,13,0b0009c200ed008b0051fa30c4235c0a,"I-83 South, past Ex. 20 Shawan Rd",2025/05/11 04:08:26+00,65,43,1,39.482673,-76.665594
-76.5235049999999,39.384129,14,0f0003ff00c400f4003d8b3033235daa,"I-695 EB @ Harford Rd, Ex 31",2025/05/11 04:08:16+00,65,132,1,39.384129,-76.523505
-76.415578,39.0200810000001,15,0f0107f0000a005a0064d330c4235c0a,"US 50 East, Prior to Exit 32, AA16.66 (L)",2025/05/11 04:10:00+00,60,5,1,39.020081,-76.415578
-76.5390599999999,39.3918200000001,16,0f011e2900f300070057fa30c4235c0a,I-695 OUTER LOOP PRIOR TO OLD HARFORD RD,2025/05/11 00:21:14+00,65,326,37,39.39182,-76.53906
-76.5390599999999,39.3918200000001,17,0f011e2900f300070057fa30c4235c0a,I-695 OUTER LOOP PRIOR TO OLD HARFORD RD,2025/05/11 00:21:14+00,60,295,23,39.39182,-76.53906
-75.89162,38.913801,18,100005b400da00ca0063d330c4235c0a,MD 404 West prior to MD 312,2025/05/11 04:10:00+00,65,1,0,38.913801,-75.89162
-75.89162,38.913801,19,100005b400da00ca0063d330c4235c0a,MD 404 West prior to MD 312,2025/05/11 04:10:00+00,70,4,0,38.913801,-75.89162
-75.4071029999999,38.385279,20,110007c300b100e30063d330c4235c0a,US 50 West past Friendship Rd (L),2025/05/11 04:10:00+00,55,2,0,38.385279,-75.407103
-76.963049,38.811339,21,1201246100b4000b0057fa30c4235c0a,I-95 INNER LOOP PRIOR TO ST BARNABAS RD,2025/05/11 04:07:27+00,65,102,1,38.811339,-76.963049
-76.963049,38.811339,22,1201246100b4000b0057fa30c4235c0a,I-95 INNER LOOP PRIOR TO ST BARNABAS RD,2025/05/11 04:07:27+00,70,0,0,38.811339,-76.963049
-76.852855,39.032655,23,1301073d0005001b005fd330c4235c0a,MD 295 AT POWDER MILL RD,2025/05/11 04:08:27+00,65,119,3,39.032655,-76.852855
-76.852855,39.032655,24,1301073d0005001b005fd330c4235c0a,MD 295 AT POWDER MILL RD,2025/05/11 04:08:27+00,60,83,2,39.032655,-76.852855
-76.2957499999999,38.976056,25,1901093000af007d0064d330c4235c0a,"MD 18 East, at Shopping Center Rd, QA14.37",2025/05/11 04:10:00+00,40,1,0,38.976056,-76.29575
-76.2957499999999,38.976056,26,1901093000af007d0064d330c4235c0a,"MD 18 East, at Shopping Center Rd, QA14.37",2025/05/11 04:10:00+00,40,1,0,38.976056,-76.29575
-77.1574909999999,38.9942980000001,27,1a0008a3000300ce003ac7482f1f5daa,I-495 NB @ MD 190,2025/05/11 04:10:00+00,70,0,0,38.994298,-77.157491
-77.1574909999999,38.9942980000001,28,1a0008a3000300ce003ac7482f1f5daa,I-495 NB @ MD 190,2025/05/11 04:10:00+00,65,31,3,38.994298,-77.157491
-77.1574909999999,38.9942980000001,29,1a0008a3000300ce003ac7482f1f5daa,I-495 NB @ MD 190,2025/05/11 04:10:00+00,70,6,2,38.994298,-77.157491
-77.1574909999999,38.9942980000001,30,1a0008a3000300ce003ac7482f1f5daa,I-495 NB @ MD 190,2025/05/11 04:10:00+00,70,7,2,38.994298,-77.157491
