Date,County,Year,Quarter,Total,Total Private,"Agriculture, forestry, fishing, and hunting","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and rental and leasing,Professional and technical services,Managemnt of companies and enterprises,Administration and waste services,Educational services,Health care and social assistance,"Arts, entertainment, and recreation",Accomodation and food services,"Other services, except public administration",Public Administration,Unclassified
01/01/2011 12:00:00 AM,Allegany,2011,1,28555,21880,,108,122,947,2467,484,3752,795,481,754,167,525,0,1326,3285,6621,189,2860,1035,2636,
01/01/2011 12:00:00 AM,Anne Arundel,2011,1,222895,183090,71,44,255,13172,14246,9805,30744,10515,3197,5842,3776,19282,1451,12738,18327,24415,3697,22102,8596,20620,
01/01/2011 12:00:00 AM,Baltimore,2011,1,324754,245917,,,3921,8767,13017,7444,15767,15604,4316,12561,4385,18336,979,16307,49421,75032,4170,19333,10585,44809,
01/01/2011 12:00:00 AM,Baltimore County,2011,1,353456,294200,315,79,,20679,19256,10292,46801,8039,6278,21392,7375,25728,3152,19830,35666,59349,4166,25094,11089,28876,
01/01/2011 12:00:00 AM,Calvert,2011,1,17251,15909,17,,,1823,640,463,2747,459,136,298,290,1117,15,917,0,3390,303,2489,741,1406,
01/01/2011 12:00:00 AM,Caroline,2011,1,8177,6008,137,,,510,1141,390,1052,725,30,198,35,217,0,141,1417,895,33,480,217,559,
01/01/2011 12:00:00 AM,Carroll,2011,1,53187,45330,297,,47,4726,3930,2094,7819,1186,744,1039,368,2678,356,3297,6210,9118,578,4875,2125,1700,
01/01/2011 12:00:00 AM,Cecil,2011,1,24547,18682,554,99,114,822,1352,705,3565,1963,286,501,195,612,0,659,3512,4341,710,2325,940,1292,
01/01/2011 12:00:00 AM,Charles,2011,1,39274,29956,33,,,2933,696,618,8613,1292,386,779,412,2131,106,1178,5173,4640,352,4733,1330,3869,
01/01/2011 12:00:00 AM,Dorchester,2011,1,10510,8093,172,,22,381,1893,346,934,510,81,295,76,184,233,101,1177,1798,98,990,318,901,
