"the_geom","OBJECTID","CROSSING","RAILROAD","RRDIV","RRSUBDIV","HIGHWAY","STREET","TYPEXING","POSXING","STFIPS","CTFIPS","COUNTY","State_ABBR","TYPE"
"POINT (-77.07739768698538 38.99389219647616)","1","139513M","MONZ","MD","GEOR","MD 185","CONNECTICUT AVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.06629669038938 38.99749319559941)","2","139512F","MONZ","MD","GEOR","CO 4460","JONES MILL RD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.10401667983609 38.96430620381509)","3","139521E","MONZ","MD","GEOR","MD 190","RIVER RD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.05169469394068 39.00249119373648)","4","139508R","MONZ","MD","GEOR","CO 858","STEWART AVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.40396655838448 39.409526125757814)","5","140462B","MDT","BALTIMORE","OLML","MU 1590","WISNER ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.40747555823286 39.40994212615457)","6","140465W","MDT","BALTIMORE","OLML","MU 1400","SOUTH ST","3","1","24","24021","Frederick","MD","PU"
"POINT (-77.62734549522906 39.31134915397549)","7","140608S","CSX","BALTIMORE","METROPOLITAN","MU 300","MAPLE AVE","3","1","24","24021","Frederick","MD","PU"
"POINT (-76.64341380570905 39.26482512636638)","8","140869S","CSX","BALTIMORE","BALTIMORE TERM","MU 1960","HOLLINS FERRY RD","3","1","24","24510","Baltimore","MD","PU"
"POINT (-76.5005578464801 39.32221210930659)","9","140830N","CSX","BALTIMORE","PHILADELPHIA","OP 5047","TODDS LANE","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.93520173336593 38.96229119805474)","10","140905K","CSX","BALTIMORE","CAPITAL","MU 180","QUEENSBURY RD","3","1","24","24033","Prince George's","MD","PU"
"POINT (-76.1044979568263 39.55579304771191)","11","140794V","CSX","BALTIMORE","PHILADELPHIA","MU 420","LEWIS LANE","3","1","24","24025","Harford","MD","PU"
"POINT (-76.72429478460592 39.19239414359893)","12","140883M","CSX","BALTIMORE","CAPITAL","CO 146","HANOVER ROAD","3","1","24","24027","Howard","MD","PU"
"POINT (-76.76759877253888 39.162292151510066)","13","140886H","CSX","BALTIMORE","CAPITAL","C0 131","MONTEVIDEO RD.","3","1","24","24027","Howard","MD","PU"
"POINT (-77.19379964081462 39.14109417137438)","14","140507F","CSX","BALTIMORE","METROPOLITAN","MU 360","S SUMMIT AVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.22440063084362 39.148594171380196)","15","140512C","CSX","BALTIMORE","METROPOLITAN","MU 215","METROPOLITANGROVE","3","1","24","24031","Montgomery","MD","PU"
"POINT (-75.82662003784858 39.65864901731299)","16","140774J","CSX","BALTIMORE","PHILADELPHIA","MD 277","ELK MILLS RD","3","1","24","24015","Cecil","MD","PU"
"POINT (-76.04693397293453 39.57962404131955)","17","140789Y","CSX","BALTIMORE","PHILADELPHIA","CO 102","JACKSON STATION","3","1","24","24015","Cecil","MD","PU"
"POINT (-76.16299994121073 39.5091930590504)","18","140804Y","CSX","BALTIMORE","PHILADELPHIA","MD 132","WEST BELAIR AVE","3","1","24","24025","Harford","MD","PU"
"POINT (-76.63219980881242 39.27379212409853)","19","140867D","CSX","BALTIMORE","BALTIMORE TERM","MU 4305","BUSH STREET","3","1","24","24005","Baltimore","MD","PU"
"POINT (-76.90609473771717 39.022892184785235)","20","140899J","CSX","BALTIMORE","CAPITAL","CO 20","SUNNYSIDE AVE","3","1","24","24033","Prince George's","MD","PU"
"POINT (-77.11049467265914 39.053493185909694)","21","140494G","CSX","BALTIMORE","METROPOLITAN","CO 1659","RANDOLPH ROAD","3","1","24","24031","Montgomery","MD","PU"
"POINT (-77.48782053953063 39.30274915009576)","22","140458L","CSX","BALTIMORE","OLD MAIN LINE","CO297","DOUBS RD","3","1","24","24021","Frederick","MD","PU"
